-No-  Hi  Lo  Artist's Name
 407   0   4  Jon B
 408   0   1  Jon Spencer Blues Explosion
 409   0   1  Jones, Jesus
 410   0   2  Jones, Norah
 411   0   3  Jones, Quincy
 412   7   0  Joplin, Janis
 413   1   6  Journey
 414   2   0  Judas Priest
 415   1   0  Judd, Wynonna
 416   0   1  Julianna Hatfield 3
 417   1   0  Kansas
 418   1   0  Kasabian
 419   2   0  KC & The Sunshine Band
 420   1   0  Keith, Toby
 421   0   3  Kelly, R
 422   2   1  Kesha
 423   5   0  Keys, Alicia
 424   0   1  Kid Bop Kids
 425   3   1  Kid Rock
 426   3   0  King Crimson
 427   1   0  King, Albert
 428   1   2  King, B B
 429   1   0  King, B B & Eric Clapton
 430   1   0  King, Ben E
 431   0   1  Kingston, Sean
 432   8   0  Kinks, The
 433   0   1  Kinsey Report, The
 434   5   0  Kiss
 435   1   0  KLF, the
 436   3   0  Knight, Gladys & the Pips
 437   0   2  Knopfler, Mark
 438   2   2  Korn
 439   0   1  Kraftwerk
 440   3   2  Krauss, Alison
 441   0   7  Kravitz, Lenny
 442   2   0  Kronos Quartet
 443   1   0  Kuti, Fela Anikulapo
 444   0   3  Lacs
 445   1   0  Lady Gaga
 446   6   0  Ladysmith Black Mambazo
 447   1   0  Lambchop
 448   1   0  Lauper, Cyndi
 449   2   0  Lavigne, Avril
 450   1   0  Leadbelly
 451  30   1  Led Zeppelin
 452   2   0  Lee, Brenda
 453   1   2  Lennon, John
 454   0   1  Lennox, Annie
 455   1   0  Levan, Ivy
 456   0  17  LeVert, Gerald
 457   2   0  Lewis, Jerry Lee
 458   1   0  Li, Lykke
 459   0   2  Lifehouse
 460   0   3  Lil Wayne
 461   2   2  Limp Bizkit
 462   1   1  Linkin Park
 463   0   1  Lit
 464   0   1  Litte Feat
 465   3   0  Little Richard
 466   1   0  Little River Band
 467   2   1  Live
 468   1   0  Loggins & Messina
 469   2   0  Loggins, Kenny
 470   1   2  Los Lobos
 471   3   0  Los Lonely Boys
 472   1   0  Louper, Cyndi
 473   1   0  Love
 474   0   1  Love and Rockets
 475   1   0  Lovelace, Patty
 476   0   1  Loverboy
 477   1   0  Lovin' Spoonful, the
 478   0   2  LSG
 479   0   6  Ludacris
 480   5   0  Lynyrd Skynyrd
 481   1   0  Mad Season
 482   1   3  Madonna
 483   5   0  Mahavishno Orchestra
 484   1   0  Makeba, Miriam
 485   1   1  Malmsteen, Yngwie
 486   6   0  Mamas & The Papas, The
 487   1   0  Manhattans, the
 488   2   0  Manilow, Barry
 489   0   1  Maranatha Group
 490   2   0  Marilyn Manson
 491   6   9  Marley, Bob
 492   0   4  Marley, Ziggy
 493   1   1  Maroon 5
 494   0   1  Martin, Ricky
 495   1   0  Marvelettes, the
 496   0   3  Matchbox 20
 497   0   2  Mathematics
 498   0   4  Maxwell
 499   0   2  Mayer, John
 500   2   1  Mayfield, Curtis
 501   2   1  Mazzy Star
 502   1   0  MC5
 503   1   0  McBride, Martina
 504   0   1  McCartney, Paul
 505   1   0  McDonald Michael
 506   0   1  McKenzie, Bob & Doug
 507   0   1  McLachlan, Sarah
 508   3   0  McLaughlin, John
 509   1   0  McLean, Don
 510   0   1  Meat Loaf
 511   1   0  Meat Puppets
 512   3   0  Megadeth
 513   0   1  Mejia, Lewis
 514   2   2  Mellencamp, John Cougar
 515   1   1  Men at work
 516   1   0  Mendes, Sergio
 517   1   1  Merchant, Natalie
 518   0   1  Mercy Me
 519   6   3  Metallica
 520   2   0  Michael, George
 521   0   1  Michaelson, Ingrid
 522   1   0  Michelle Shocked
 523   1   0  Midnight Oil
 524   0   2  Minaj, Nicki
 525   0   2  Ministry
 526   0   2  Minor Threat
 527   0   8  Mint Condition
 528   2   0  Mitchell, Joni
 529   1   0  Monae, Janelle
 530   0   1  Money, Eddie
 531   7   0  Monkees, The
 532   4   0  Monroe, Bill
 533   8   3  Moody Blues
 534   0   1  Moore, Gary
 535   3   1  Morissette, Alanis
 536   0   1  Morphine
 537   9   5  Morrison, Van
 538   0   3  Motley Crue
 539   2   0  Motown
 540   2   1  Mott the Hoople
 541   0   1  Mraz, Jason
 542   1   0  Muldaur, Maria
 543   1   0  Mya
 544   0   1  Myles, Alannah
 545   2   1  N.W.A
 546   1   4  Nakai, R Carlos
 547   0   1  Natalie Merchant
 548   0   7  Nelly
 549   1   1  Nelson, Willie
 550   1   0  Nelson, Willie & Wynton Marsalis
 551   0   1  Neville Brothers, the
 552   4   0  Neville, Aaron
 553   1   0  New Pornographers, The
 554   0   1  New Radicals
 555   1   0  Newfield, Heidi
 556   7   2  Nickelback
 557   1   1  Night Ranger
 558   2   6  Nine Inch Nails
 559   2   5  Nirvana
 560   6   0  Nitty Gritty Dirt Band, the
 561   0   2  No Doubt
 562   0   1  Notorious B I G
 563   1   0  Nova, Aldo
 564   0   1  O'Connor, Sinead
 565   3   2  Oasis
 566   1   0  Ochs, Phil
 567   1   0  Odetta  {whrt}
 568   0   5  Offspring
 569   0   1  Ol' Dirty Bastard
 570   0   1  Old 97's
 571   2   0  ORB
 572   6   0  Orbison, Roy
 573   1   0  Orchestrial Manoeuvres In The Dark
 574   0   1  Orlando, Tony & Dawn
 575   5   1  Osbourne, Ozzy
 576   0   2  Outkast
 577   0   1  Owl City
 578   1   0  Page, Jimmy
 579   1   0  Page, Jimmy & Robert Plant
 580   1   0  Palmer, Amanda
 581   2   0  Palmer, Robert
 582   4   1  Pantera
 583   0   1  Parker, Graham
 584   1   0  Parsons, Alan
 585   2   0  Paul Revere & the Raiders
 586   1   0  Paul, Less
 587   0   1  Paul, Sean
 588   2   5  Pearl Jam
 589   0   1  Penguins, the
 590   1   0  Perkins, Carl
 591   0   1  Perry, Katy
 592   0   1  Pet Shop Boys
 593   7   0  Peter, Paul & Mary
 594   6   0  Petty, Tom & the Heartbreakers
 595   1   0  Peyroux, Madeleine
 596   0   1  Phillips, John
 597   2  10  Phish
 598   1   0  Pink
 599  32   0  Pink Floyd
 600   1   0  Pixies
 601   1   0  Plain White Ts
 602   2   1  Plant, Robert
 603   1   0  Platters,the
 604   0   4  Pogues, the
 605   0   5  Poi Dog Pondering
 606   0   1  Pointer Sisters, the
 607   5   2  Police
 608   1   1  Porno For Pyros
 609   0   3  Presley, Elvis
 610   2   1  Pretenders, the
 611   1   0  Pretty Girls Make Graves
 612   0   1  Pretty Ricky
 613   2   2  Primus
 614   1   2  Prince
 615   0   1  Probot
 616   0   1  Prodigy
 617   1   8  Public Enemy
 618   2   2  Puddle of Mudd
 619   0   1  PureNRG
 620  19  13  Queen
 621   4   0  Queensryche
 622   1   0  Quicksilver Messenger Service
 623   7  10  R.E.M.
 624   1   0  Rabbit, Eddie
 625   1   1  Raconteurs, The
 626   4   5  Radiohead
 627   2   3  Rage Against The Machine
 628   1   1  Raitt, Bonnie
 629   3   0  Ramones
 630   1   0  Randolph, Boots
 631   0   1  Randolph, Robert
 632   1   0  Rare Earth
 633   1   0  Rascal Flatts
 634   1   0  Raspberries, The
 635   1   0  Ratt
 636   7   0  Red Hot Chili Peppers
 637   1   0  Red Jumpsuit Apparatus, The
 638   2   0  Redding, Otis
 639   2   0  Reed, Lou
 640   0   1  Reese, Don
 641   1   0  Reeves, Martha & The Vandellas
 642   2   0  Reinhardt, Django
 643   6   0  Reo Speedwagon
 644   0   1  Rich, Buddy
 645   1   2  Richie, Lionel & The Commodores
 646   1   2  Rihanna
 647   2   2  Robertson. Robbie
 648   4   0  Robinson, Smokey & the Miracles
 649   1   1  Rodrigo y Gabriela
 650   1   0  RodriGuez, Sixto
 651   5  22  Rolling Stones
 652   1   0  Ronettes, The
 653   1   0  Ross, Diana
 654   0   1  Roxy Music
 655   1   0  Royal Blood
 656   8   6  Rush
 657   1   0  Rush, Otis
 658   1   1  Rusted Root
 659   1   0  Sam & Dave
 660   0   1  Samples, the
 661  16   0  Santana, Carlos
 662   0   1  Santos, Romeo
 663  10   4  Satriani, Joe
 664   0   1  Savage Garden
 665   2   0  Scorpions
 666   2   0  Seal
 667   6   0  Seeger, Pete
 668   4   0  Seger, Bob & The Silver Bullet Band
 669   2   0  Segovia, Andres
 670   0   2  Semisonic
 671   1   0  Sex Pistols, the
 672   1   0  Shabba Ranks
 673   3   0  Shakira
 674   1   0  Shania Twain
 675   1   0  Shannon, Del
 676   0   1  Shatner, William
 677   1   0  Shelton, Blake
 678   0   3  Sick Puppies
 679   2   1  Silverchair
 680   9   0  Simon and Garfunkel
 681   2   0  Simon, Carly
 682   5   2  Simon, Paul
 683  11   0  Simone, Nina
 684   2   0  Simple Minds
 685   1   0  Simply Red
 686   1   0  Simpson, Martin
