-No-  Hi  Lo  Artist's Name
 522   1   0  Jesus and Mary Chain, The
 523   5   3  Jethro Tull
 524   1   0  Jets, The
 525   1   0  Jett, Joan & The Blackhearts
 526   0   1  Jewel
 527   0   6  Joe
 528   8   2  Joel, Billy
 529   1   0  John, Dr
 530  11   2  John, Elton
 531   2   0  Johnson, Blind Willie
 532   0   1  Johnson, Eric
 533   1   2  Johnson, John
 534   2   0  Johnson, Robert
 535   0   4  Jon B
 536   0   1  Jon Spencer Blues Explosion
 537   1   0  Jonas, Nick
 538   0   1  Jones, Jesus
 539   5   0  Jones, Norah
 540   0   3  Jones, Quincy
 541   2   0  Jones, Rickie Lee
 542   1   0  Jones, Tom
 543   8   0  Joplin, Janis
 544   1   0  Joshua Redman Quartet
 545   7   4  Journey
 546   5   0  Joy Division
 547   7   0  Judas Priest
 548   1   0  Judd, Wynonna
 549   0   1  Julianna Hatfield 3
 550   2   0  Kamakawiwo'ole, Israel
 551   6   0  Kansas
 552   1   0  Kasabian
 553   2   0  KC & The Sunshine Band
 554   1   0  Keith, Toby
 555   0   3  Kelly, R
 556   2   1  Kesha
 557   6   0  Keys, Alicia
 558   0   1  Kid Bop Kids
 559   3   1  Kid Rock
 560   1   0  Kidjo, Angélique
 561   0   1  Kilar, Wojciech
 562   1   0  Kilar, Wojciech
 563   0   3  Killswitch Engage
 564   5   0  King Crimson
 565   1   0  King, Albert
 566   1   2  King, B B
 567   1   0  King, B B & Eric Clapton
 568   1   0  King, BB Big Mama Thorton, Muddy Waters
 569   1   0  King, Ben E
 570   2   0  King, Carole
 571   0   1  Kingston, Sean
 572  10   0  Kinks, The
 573   0   1  Kinsey Report, The
 574   5   0  Kiss
 575   1   0  KLF, the
 576   3   0  Knight, Gladys & the Pips
 577   1   2  Knopfler, Mark
 578   2   2  Korn
 579   4   0  Kottke, Leo
 580   2   0  Kraftwerk
 581   8   2  Krauss, Alison
 582   4   3  Kravitz, Lenny
 583   6   0  Kronos Quartet
 584   1   0  Kuti, Fela Anikulapo
 585   1   0  Kuti, Femi
 586   1   2  Lacs
 587   1   0  Lady Gaga
 588   6   0  Ladysmith Black Mambazo
 589   1   0  Lambchop
 590   2   0  Lambert, Miranda
 591   1   0  Landreth, Sonny
 592   1   0  Lang, Peter
 593   2   0  Lauper, Cyndi
 594   2   0  Lavigne, Avril
 595   1   0  LCD Soundsystrm
 596   5   0  Leadbelly
